CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,0.00,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,1,1,2001,2
,,,4169.38,219.02,3950.36,256.13,40.19,,4246.67,,,,,52815.61,1862.91,18789.06,35889.47,,,,633.26,142.48,36380.24,,,,,,500.00,500.00,41126.90,,,,5650.34,1334.76,42.99,874.34,293.43,,52.69,,,2107.95,10356.49,,30151.39,,488.84,,30640.23,-20.70,,482.21,461.52,,,,,,2056.40,2056.40,-2387.73,-331.33,,-331.33,41126.90,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2001,3
,,,5359.57,386.00,4973.57,90.23,16.64,,5080.44,,,,,51071.94,1900.02,15551.10,37420.86,,,,633.26,110.82,37943.30,,,,,,575.00,575.00,43598.74,,,,4640.96,1054.16,42.99,390.25,200.93,,81.61,,,2830.59,9241.49,,36007.77,,510.32,,36518.09,-15.72,,500.00,484.28,,,,,,1705.00,1705.00,-4350.12,-2645.12,,-2645.12,43598.74,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2001,1
,,,5820.67,407.82,5412.84,40.21,71.27,,5524.33,,,,,51717.29,1878.40,17295.43,36300.26,,,,633.26,126.65,36806.87,,,,,,537.50,537.50,42868.69,,,,5264.91,1142.77,42.99,703.45,293.43,,134.89,,,2591.53,10173.96,,33092.29,,499.90,,33592.19,-24.70,,500.00,475.30,,,,,,1878.70,1878.70,-3251.47,-1372.77,,-1372.77,42868.69,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2001,2
,,,8710.46,151.66,8558.80,511.46,237.82,,9308.08,,,,,53889.39,1837.43,20432.21,35294.61,,,,633.26,158.31,35769.55,,,,,,462.50,462.50,45540.13,,,,5963.20,1472.94,48.35,765.34,353.91,,39.62,,,2704.68,11348.04,,29520.33,,472.19,,29992.52,6.35,,500.00,506.35,,,,,,2226.00,2226.00,1467.21,3693.21,,3693.21,45540.13,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2001,4
,,,9086.43,100.00,8986.43,923.04,2933.78,2474.33,15317.58,,,,,66934.92,25045.00,43409.40,48570.52,,,,,,48570.52,,,,,,8639.50,8639.50,72527.60,,,,9241.94,,,812.66,900.00,,229.82,,,24632.76,35817.18,,,,,35690.30,35690.30,,,,,,,,,,40015.85,40015.85,-38995.73,1020.12,,1020.12,72527.60,19874,8C,Air Transport International,8C,Air Transport International,06029,D,2,2,2001,4
,728.91,1963.13,176642.87,5642.93,172963.07,4025.76,32868.11,,210585.85,,-192.73,,-192.73,333685.62,433124.94,365457.29,401353.26,,,1968.64,,,403321.90,,,,2770.08,,3689.03,6459.11,620174.13,6879.59,,,95727.68,33692.90,,33218.04,22004.09,,-34255.69,,,17650.91,174917.52,350060.46,,,15549.91,44965.71,410576.08,23761.64,,,23761.64,,,0.18,,0.18,141728.48,141728.66,-36888.40,104840.26,93921.37,10918.89,620174.13,20357,ER,"Astar USA, LLC",ER,DHL Airways,06170,D,3,3,2001,1
,728.91,3513.62,168228.83,5205.76,166536.68,9923.02,29098.75,,206287.37,,-174934.64,,-174934.64,,810128.05,385360.18,424767.88,,,6645.14,,,431413.02,,,,3732.56,,3688.89,7421.44,470187.19,3095.36,,,98767.68,5689.69,,22741.87,23452.10,,-34036.79,,,276097.32,395807.21,13643.10,,,14989.80,44693.90,73326.80,23761.64,,,23761.64,,,0.18,,0.18,176676.40,176676.58,-105463.66,71212.92,93921.37,-22708.46,470187.19,20357,ER,"Astar USA, LLC",ER,DHL Airways,06170,D,3,3,2001,2
,3248.56,,11759.65,896.62,10863.03,1032.92,1355.93,-10.09,16490.35,,,,,95186.07,18699.41,53626.55,60258.93,,,126.49,,,60385.42,2217.33,1112.46,1104.88,,362.72,,362.72,78343.36,,,,7214.68,,,37.57,,36.95,266.66,,,10242.49,17798.35,57830.13,,,,358.14,58188.27,,,,,,,0.50,,0.50,5.68,6.18,2350.56,2356.74,,2356.74,78343.36,20151,M6,Amerijet International,M6,Amerijet International,06052,D,1,1,2001,3
-77105.00,1567782.00,2837.00,88343.00,8135.00,83045.00,77235.00,80110.00,28191.00,1759258.00,8307.00,,,8307.00,7134466.00,758718.00,2289527.00,5603657.00,27588.00,402180.00,96997.00,182564.00,105763.00,6207223.00,,,,1725.00,,30038.00,31763.00,8006551.00,481665.00,,,92508.00,166083.00,8489.00,44740.00,80980.00,10529.00,86907.00,,522084.00,445360.00,1939345.00,649840.00,,,101776.00,22641.00,774257.00,1063933.00,,279356.00,1343289.00,,,764607.00,,764607.00,15352.00,779959.00,3169701.00,3949660.00,,3949660.00,8006551.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2001,3
-44340.00,2323899.00,2824.00,72027.00,4798.00,70053.00,69643.00,60359.00,46400.00,2526014.00,8318.00,,,8318.00,7351402.00,768954.00,2346845.00,5773511.00,27706.00,468154.00,100756.00,182717.00,107953.00,6444891.00,,,,,,28611.00,28611.00,9007834.00,505875.00,,,32052.00,285046.00,8692.00,45887.00,83105.00,20110.00,55546.00,3437.00,450407.00,759721.00,2249878.00,1226582.00,,,100576.00,23686.00,1350844.00,1058143.00,,334916.00,1393059.00,,,766774.00,,766774.00,50409.00,817183.00,3196870.00,4014053.00,,4014053.00,9007834.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2001,4
-31421.00,716089.00,2910.00,133910.00,5438.00,131382.00,78499.00,126669.00,28132.00,1049350.00,8561.00,,,8561.00,6925633.00,718702.00,2129831.00,5514504.00,27123.00,286969.00,76003.00,182563.00,101378.00,5985784.00,,,,10458.00,,21571.00,32029.00,7075724.00,101929.00,,,48164.00,131432.00,8207.00,42206.00,74708.00,12489.00,61297.00,,504846.00,513014.00,1498292.00,650798.00,,,103888.00,11579.00,766265.00,891186.00,,277875.00,1169061.00,,,761826.00,,761826.00,,761826.00,2894727.00,3656553.00,14447.00,3642106.00,7075724.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2001,1
-23448.00,992763.00,2861.00,136430.00,5774.00,133517.00,78465.00,125451.00,28191.00,1334939.00,8371.00,,,8371.00,7059275.00,743456.00,2214056.00,5588675.00,27124.00,325204.00,84042.00,182564.00,103571.00,6104038.00,,,,10083.00,,21634.00,31717.00,7479065.00,102105.00,,,59615.00,127035.00,8396.00,42742.00,77613.00,18737.00,90234.00,,510103.00,603142.00,1639722.00,649809.00,,,102793.00,11741.00,764343.00,971452.00,,281994.00,1253446.00,,,762829.00,,762829.00,5996.00,768825.00,3052729.00,3821554.00,,3821554.00,7479065.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2001,2
-3987.03,,,5887.19,23.10,5864.08,2263.83,899.80,3047.34,8088.03,,,,,84036.05,5998.97,31849.51,58185.51,,,,,,58185.51,,,,,,8841.91,8841.91,75115.44,,,,37471.22,,,630.27,1136.14,,1803.64,,,30321.99,71363.25,,,,,24001.08,24001.08,,,,,,,,,,29438.61,29438.61,-49687.50,-20248.89,,-20248.89,75115.44,19874,8C,Air Transport International,8C,Air Transport International,06029,D,2,2,2001,1
-1753.19,481.54,,92381.46,54412.37,37969.09,159752.08,227574.68,4505.74,428529.95,,34528.27,,34528.27,351190.99,46867.07,55096.67,342961.39,129.68,,19489.66,223695.63,7711.67,578564.68,,,,,,1296012.25,1296012.25,2337635.14,,,,1253429.53,57523.67,9772.54,36670.86,79724.92,11550.38,-144739.19,,115777.12,208408.51,1628118.34,,,,224556.46,739010.17,963566.63,,,1418.00,1418.00,,,,,,,,-255467.82,-255467.82,,-255467.82,2337635.14,20211,TW,Trans World Airways LLC,TW,Trans World Airways LLC,06757,D,3,3,2001,4
-741.35,,,3008.42,,3008.42,660.75,720.50,3894.39,7542.70,,,,,64749.66,3916.92,31280.87,37385.71,,,,,,37385.71,,,,,,426.47,426.47,45354.88,,7549.34,,1529.74,10418.44,,,,,,,,3894.39,23391.91,17287.44,,,,,17287.44,1835.47,,,1835.47,,,1.00,,1.00,1114.00,1115.00,1725.07,2840.07,,2840.07,45354.88,20402,GL,Miami Air International,MMQ,Miami Air International,06690,D,1,1,2001,2
-734.11,,,4153.13,,4153.13,671.14,944.37,4190.15,9224.69,,,,,64998.57,3987.92,33482.25,35504.24,,,,,,35504.24,,,,,,126.47,126.47,44855.40,,6019.48,,2774.41,11531.81,,,,,,,,4190.15,24515.86,18147.18,,,,1835.47,19982.64,,,,,,,1.00,,1.00,1114.00,1115.00,-758.10,356.90,,356.90,44855.40,20402,GL,Miami Air International,MMQ,Miami Air International,06690,D,1,1,2001,3
-533.28,,,8230.58,532.97,7697.61,-4.95,402.38,,7561.76,,,,,44093.59,865.05,30317.45,14641.19,,,3.26,,,14644.45,,,,83.85,,,83.85,22290.07,,,,1365.30,,,209.76,54.81,,46.30,,,-1.14,1675.03,17425.17,22271.85,,,,39697.02,,,,,,,7944.86,,7944.86,,7944.86,-27026.85,-19081.98,,-19081.98,22290.07,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,1,1,2001,2
-394.37,,,11762.27,100.00,11662.27,1295.37,946.52,3249.59,16759.38,,,,,85688.11,6368.80,39510.48,52546.43,,,,,,52546.43,,,,,,8707.30,8707.30,78013.11,,,,33578.03,,,638.34,1136.14,,735.95,,,26565.97,62654.42,,,,,32227.93,32227.93,,,,,,,,,,29438.61,29438.61,-46307.86,-16869.25,,-16869.25,78013.11,19874,8C,Air Transport International,8C,Air Transport International,06029,D,2,2,2001,3
-308.27,,,7321.23,374.63,6946.59,13.64,351.62,,7003.58,,,,,43293.59,864.19,28492.18,15665.61,,750.00,,,,16415.61,,,,89.96,,,89.96,23509.15,,,,1384.03,,,209.35,54.81,,63.25,,,43.49,1754.93,17884.34,22171.85,,,,40056.19,,,,,,,7944.86,,7944.86,,7944.86,-26246.83,-18301.97,,-18301.97,23509.15,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,1,1,2001,1
-199.72,,,9506.67,56.00,9450.67,1212.46,697.50,2620.42,13781.33,,,,,85428.28,6272.05,35693.01,56007.31,,,,,,56007.31,,,,,,8775.11,8775.11,78563.75,,,,35957.81,,,541.07,1136.14,,1707.05,,,29202.13,68544.19,,,,,27871.71,27871.71,,,,,,,,,,29438.61,29438.61,-47290.77,-17852.16,,-17852.16,78563.75,19874,8C,Air Transport International,8C,Air Transport International,06029,D,2,2,2001,2
-144.57,,,9132.32,330.56,8801.76,6.79,593.05,,9257.02,,,,,42728.04,857.42,30316.82,13268.64,,27.50,,,,13296.14,,,,52.06,,,52.06,22605.22,,,,2344.78,,,147.75,43.77,,-359.49,,,33.22,2210.02,,40338.66,,,,40338.66,,,,,,,7944.86,,7944.86,,7944.86,-27888.32,-19943.46,,-19943.46,22605.22,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,1,1,2001,4
-27.65,,,28971.70,1895.35,27076.35,3926.12,3459.67,10163.40,44597.88,,,,,136965.88,89.26,66611.16,70443.97,,,,,,70443.97,,,,,,194896.25,194896.25,309938.10,,,,16673.28,,,51686.00,,,-75.19,,,2398.71,70682.81,,,,,86188.25,86188.25,29927.80,,336629.74,366557.54,,,,,,186.07,186.07,-213676.56,-213490.49,,-213490.49,309938.10,19898,TNQ,Emery Worldwide Airlines,TNQ,Emery Worldwide Airlines,06018,D,2,2,2001,2
-21.71,2902.79,,6682.24,2274.12,4408.12,,766.65,1449.57,9505.42,,,,,4990.96,294.68,747.33,4538.30,,,,,,4538.30,,,,,,,,14043.72,,,1300.00,17779.94,2083.93,,411.13,,,,,2544.79,,24119.79,13272.68,,,,,13272.68,,,,,1500.00,,81.71,,1581.71,8577.45,10159.15,-33507.90,-23348.75,,-23348.75,14043.72,20147,T9,TransMeridian Airlines,T9,TransMeridian Airlines,06886,D,1,1,2001,1
5.03,,,11662.79,877.85,10784.95,3626.37,3123.87,2721.76,20261.97,,,,,93085.58,89.26,55274.66,37900.17,,,,,,37900.17,,,,,59317.76,,59317.76,117479.91,,,,3856.64,,,40581.05,,,-75.74,,,-303381.65,-259019.71,,,,,155427.54,155427.54,-59606.73,,456503.28,396896.55,,,,,,186.07,186.07,-176010.54,-175824.47,,-175824.47,117479.91,19898,TNQ,Emery Worldwide Airlines,TNQ,Emery Worldwide Airlines,06018,D,2,2,2001,3
6.20,2191.34,,28463.21,,28463.21,945.68,7882.35,,39488.78,-52379.22,,,-52379.22,62997.98,10776.18,53103.66,20670.51,,,284.32,,,20954.82,,,,,,,,8064.38,2890.25,,,1005.78,,,,,,-52034.66,,,53665.98,5527.35,6887.68,,,,,6887.68,,,,,,,1.00,,1.00,,1.00,-4351.64,-4350.64,,-4350.64,8064.38,20302,KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,06688,D,2,2,2001,4
17.31,,,47760.31,3537.80,44222.51,21334.56,3764.50,12630.15,81969.03,,,,,266561.78,96223.28,193908.88,168876.18,,,,,,168876.18,,,,,,387270.20,387270.20,638115.41,,,,19536.73,,,80973.99,,,-49.05,,,1679.04,102140.70,,,,,42587.95,42587.95,144884.45,,349543.55,494428.00,,,,,,186.07,186.07,-1227.31,-1041.24,,-1041.24,638115.41,19898,TNQ,Emery Worldwide Airlines,TNQ,Emery Worldwide Airlines,06018,D,2,2,2001,1
18.84,177.00,,4302.52,,4302.52,1496.17,13035.06,,19029.58,-25045.11,,,-25045.11,180003.67,10803.98,94205.63,96602.03,,,229.13,,,96831.16,,,,,,,,90815.63,9000.00,,,399.38,,,,,,-26168.52,,,52392.35,35623.21,20729.00,,,,,20729.00,,,,,,,1.00,,1.00,,1.00,34462.42,34463.42,,34463.42,90815.63,20302,KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,06688,D,2,2,2001,3
20.72,455.71,,14682.23,,14682.23,2561.85,15581.92,,33302.44,-43189.26,,,-43189.26,263631.14,11128.75,90826.36,183933.53,,,238.64,,,184172.18,,,,,,,,174285.36,9000.00,,,2831.82,,,,,,3586.89,,,58427.08,73845.79,21385.54,,,,,21385.54,,,,,,,1.00,,1.00,,1.00,79053.02,79054.02,,79054.02,174285.36,20302,KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,06688,D,2,2,2001,2
21.82,173.46,,17477.10,,17477.10,2285.86,13168.90,,33127.14,-49673.50,,,-49673.50,270303.51,11127.52,89728.81,191702.21,,,668.69,,,192370.90,,,,,,,,175824.55,9000.00,,,1792.35,,,,,,2917.29,,,57772.43,71482.07,26337.23,,,,,26337.23,,,,,,,1.00,,1.00,,1.00,78004.25,78005.25,,78005.25,175824.55,20302,KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,06688,D,2,2,2001,1
27.34,,79277.44,3830.70,,83108.15,7449.89,958.89,,91544.27,,,,,37267.16,11841.77,30895.42,18213.51,,,1050.04,,,19263.55,,,,,,9054.81,9054.81,119862.64,,,,26106.83,,,2265.02,1697.07,,28624.00,,,371.38,59064.29,,,,,,,-1249.49,,79.94,-1169.55,,,1.00,,1.00,,1.00,61966.90,61967.90,,61967.90,119862.64,20414,OW,Executive Airlines,OW,Executive Airlines,06196,D,2,2,2001,3
27.42,,81286.04,653.72,,81939.77,6906.31,475.12,,89348.62,,,,,37058.72,11875.01,31669.99,17263.74,,,238.29,,,17502.03,,,,,,8975.20,8975.20,115825.84,,,,26154.81,,,2665.59,1556.30,,24104.00,,,722.92,55203.62,,,,,,,1352.98,,,1352.98,,,1.00,,1.00,59268.25,59269.25,,59269.25,,59269.25,115825.84,20414,OW,Executive Airlines,OW,Executive Airlines,06196,D,2,2,2001,4
28.63,,71184.50,97.24,,71281.74,7636.77,293.44,,79240.58,,,,,36245.38,9761.99,27491.08,18516.30,,,1306.22,,,19822.51,,,,,,9214.04,9214.04,108277.14,,,,24241.78,,,549.58,1619.62,,26020.67,,,436.21,52867.85,,,,,,,-1249.49,,,-1249.49,,,1.00,,1.00,,1.00,56657.77,56658.77,,56658.77,108277.14,20414,OW,Executive Airlines,OW,Executive Airlines,06196,D,2,2,2001,1
36.81,2962.55,,429.23,1.50,427.73,,346.17,705.41,4478.67,,,,,4877.61,307.61,891.33,4293.89,,,,,,4293.89,,,,,,-990.55,-990.55,7782.01,,,,1114.19,4584.65,,381.37,,,,,2039.07,166.25,8285.54,,,,,,,,,,,,,10.00,,10.00,1990.00,2000.00,-2503.52,-503.52,,-503.52,7782.01,20147,T9,TransMeridian Airlines,T9,TransMeridian Airlines,06886,D,1,1,2001,2
52.00,,,3074.00,41.00,3033.00,33425.00,11860.00,1954.00,50324.00,,,,,118118.00,48011.00,77120.00,89009.00,1380.00,83223.00,,,,173612.00,,,,400.00,,51706.00,52106.00,276042.00,,,57968.00,37919.00,7045.00,,6219.00,4299.00,,4527.00,,510.00,1977.00,120464.00,,,,,,,,,13213.00,13213.00,,,1.00,,1.00,102860.00,102861.00,39504.00,142365.00,,142365.00,276042.00,19687,QX,Horizon Air,QX,Horizon Air,06580,D,2,2,2001,1
61.00,,,8167.00,41.00,8126.00,35272.00,5464.00,1954.00,50877.00,,,,,114264.00,49000.00,80932.00,82332.00,1380.00,81152.00,,,,164864.00,,,,400.00,,50629.00,51029.00,266770.00,,,51855.00,35664.00,7697.00,,4797.00,4423.00,,5461.00,,788.00,1677.00,112362.00,,,,,11787.00,11787.00,,1.00,,1.00,,,,,,102860.00,102860.00,39760.00,142620.00,,142620.00,266770.00,19687,QX,Horizon Air,QX,Horizon Air,06580,D,2,2,2001,2
82.54,,,1844.33,,1844.33,1744.22,679.87,,4350.95,,,,,30167.45,918.47,17173.77,13912.15,,,,852.96,,14765.11,,,,0.50,,,0.50,19116.56,,800.00,,1451.09,3.43,,65.15,141.91,100.31,-81.50,,,,2480.40,19695.84,,,,,19695.84,924.22,,,924.22,,,1.00,,1.00,-14020.69,-14019.69,10035.79,-3983.90,,-3983.90,19116.56,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06774 (1),D,1,1,2001,1
83.01,24672.46,,3062.01,2.03,3059.98,3956.26,1221.63,84.07,33077.39,,,,,53715.73,6077.86,27219.23,32574.37,,,,,,32574.37,,,,,1628.52,,1628.52,67280.28,,11029.80,1225.11,16765.11,40.33,,468.68,654.43,19.94,2812.85,,,1650.75,34667.00,4076.60,,,,,4076.60,,,398.84,398.84,,,10.00,,10.00,4399.17,4409.17,23728.68,28137.85,,28137.85,67280.28,20237,AX,Trans States Airlines,9N,Trans States Airlines,06904,D,2,2,2001,4
85.00,,,7412.00,30.00,7382.00,33609.00,14217.00,2152.00,57445.00,,,,,114870.00,49991.00,88348.00,76513.00,1380.00,40680.00,,,,118573.00,,,,100.00,,77869.00,77969.00,253987.00,,,45865.00,40633.00,3253.00,,4385.00,4595.00,,4012.00,,752.00,7306.00,110801.00,,,,,,,,,18319.00,18319.00,,,1.00,,1.00,102860.00,102861.00,22006.00,124867.00,,124867.00,253987.00,19687,QX,Horizon Air,QX,Horizon Air,06580,D,2,2,2001,4
85.54,27123.38,,7176.53,2.03,7174.50,4118.98,1810.77,101.27,40414.45,,,,,42852.60,6048.87,15693.51,33207.97,,,,,,33207.97,,,,,,2490.44,2490.44,76112.85,,9683.67,1202.24,18258.84,66.33,,761.59,639.43,22.15,2932.32,,,2021.76,35588.34,4391.58,,,,,4391.58,,,434.03,434.03,,,10.00,,10.00,4399.17,4409.17,31289.73,35698.90,,35698.90,76112.85,20237,AX,Trans States Airlines,9N,Trans States Airlines,06904,D,2,2,2001,3
86.39,24257.40,,7537.90,2.03,7535.87,3728.03,1158.83,100.53,36867.05,,,,,28573.41,5996.94,14581.89,19988.46,,,,24804.96,10515.80,34277.61,,,,,,3665.10,3665.10,74809.77,,6108.20,1157.80,19009.16,78.99,5579.09,892.89,833.37,8.44,3412.00,,,997.94,38077.87,5004.02,,,,,5004.02,,,504.42,504.42,,,10.00,,10.00,4408.77,4418.77,26804.68,31223.45,,31223.45,74809.77,20237,AX,Trans States Airlines,9N,Trans States Airlines,06904,D,2,2,2001,1
89.00,88.66,,417.26,4.81,412.45,3264.52,144.03,707.76,4706.42,,,,,49618.78,7378.80,48797.26,8200.31,978.03,,,,,9178.35,,,,,,5385.82,5385.82,19270.59,,481.23,,2271.66,1218.37,,84.19,166.50,3624.20,70.58,,,-0.92,7915.81,,,,,,,2477.00,,,2477.00,,,45.00,,45.00,,45.00,8832.78,8877.78,,8877.78,19270.59,20379,ZKQ,Zantop International,ZKQ,Zantop International,09790,D,1,1,2001,4
89.48,25166.58,,7375.26,2.03,7373.23,3587.85,1052.31,181.68,37451.13,,,,,54419.66,6026.57,25930.08,34516.14,,,,30.52,30.52,34516.14,,,,,,3270.24,3270.24,75237.51,11179.81,,,18200.36,51.56,,535.47,848.37,24.63,3790.40,,,1346.71,35977.32,4700.69,,,,,4700.69,,,469.23,469.23,,,10.00,,10.00,4408.77,4418.77,29671.51,34090.28,,34090.28,75237.51,20237,AX,Trans States Airlines,9N,Trans States Airlines,06904,D,2,2,2001,2
121.88,,,643.70,,643.70,1141.84,2506.67,,4414.08,,,,,18885.25,13811.61,25390.12,7306.74,,,443.08,,,7749.82,,,,,,4362.29,4362.29,16526.20,3836.00,4319.33,5991.57,72425.73,,,,2568.53,1270.28,585.93,,15170.44,15231.54,121399.36,35464.39,,,,12461.95,47926.34,,,,,,,0.53,,0.53,-7230.50,-7229.96,-145569.53,-152799.50,,-152799.50,16526.20,20422,SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines,06795,D,2,2,2001,4
145.70,,80923.25,116.93,,81040.19,7849.73,15.97,,89051.58,,,,,37147.94,10736.19,28235.99,19648.15,,,1033.59,,,20681.74,,,,,,9134.43,9134.43,118867.74,,,,31439.76,,,1470.57,1666.77,,26733.10,,,332.39,61642.59,,,,,,,-1249.49,,50.79,-1198.70,,,1.00,,1.00,,1.00,58422.86,58423.86,,58423.86,118867.74,20414,OW,Executive Airlines,OW,Executive Airlines,06196,D,2,2,2001,2
157.20,1327.58,,3134.49,,3134.49,,1606.94,7.15,6233.36,,,,,4543.91,1087.64,2238.85,3392.71,,1304.13,,,,4696.83,,,,,,,,10930.20,629.42,445.00,,3154.33,,,14.07,,,75.28,,,4288.69,8606.78,1747.25,,,,712.29,2459.54,,,,,,,3.76,-86.10,-82.34,4308.77,4226.42,-4362.55,-136.12,,-136.12,10930.20,20195,WI,Sky Lease Cargo,WI,Tradewinds Airlines,06884,D,1,1,2001,3
166.72,146.65,,2124.24,1273.08,851.16,3295.96,123.24,651.55,5235.27,,,,,50153.05,7378.80,48749.93,8781.92,978.03,,,,,9759.96,,,,,,5692.04,5692.04,20687.26,,677.48,,2068.64,1267.45,,154.48,220.32,3581.21,76.01,,,-1.43,8044.17,,,,,,,2477.00,,,2477.00,,,45.00,,45.00,,45.00,10121.10,10166.10,,10166.10,20687.26,20379,ZKQ,Zantop International,ZKQ,Zantop International,09790,D,1,1,2001,2
178.32,59.71,,828.86,4.12,824.74,3309.78,164.85,673.10,5210.49,,,,,49885.36,7378.80,48768.55,8495.60,978.03,,,,,9473.64,,,,,,5508.64,5508.64,20192.77,,603.39,,2183.11,1231.24,,161.88,210.51,3607.13,71.67,,,-0.24,8068.69,,,,,,,2477.00,,,2477.00,,,45.00,,45.00,,45.00,9602.07,9647.07,,9647.07,20192.77,20379,ZKQ,Zantop International,ZKQ,Zantop International,09790,D,1,1,2001,3
201.41,,,4035.78,766.45,3269.33,,,1093.51,4564.25,,,,,4363.79,658.27,2917.82,2104.23,,,,,,2104.23,,,,,,773.16,773.16,7441.64,,,,,13637.54,,,,,387.86,,,1282.67,15308.07,1572.77,,,,,1572.77,,,,,,,0.50,,0.50,187.27,187.77,-9626.97,-9439.19,,-9439.19,7441.64,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06400,D,1,1,2001,4
204.21,2841.57,,397.11,6.00,391.11,,338.71,712.36,4487.95,,,,,4544.19,317.47,1035.33,3826.32,,,,,,3826.32,,,,,,1439.47,1439.47,9753.75,,,,2999.85,3835.02,,335.21,,,,,1941.55,,9111.62,,,,,,,,,,,,,10.00,,10.00,1990.00,2000.00,-1357.88,642.12,,642.12,9753.75,20147,T9,TransMeridian Airlines,T9,TransMeridian Airlines,06886,D,1,1,2001,3
212.55,,,3250.63,,3250.63,615.36,1053.87,7971.04,13103.44,,,,,64523.96,3727.74,29023.69,39228.01,,,,,,39228.01,,,,,,226.47,226.47,52557.92,,5393.05,,2697.15,13853.14,,,,,,,,7971.04,29914.37,16742.41,,,,,16742.41,1835.47,,,1835.47,,,1.00,,1.00,1114.00,1115.00,2950.67,4065.67,,4065.67,52557.92,20402,GL,Miami Air International,MMQ,Miami Air International,06690,D,1,1,2001,1
220.88,11074.18,,10886.13,125.00,10761.13,,8438.29,11361.08,41855.55,,,,,134392.24,11332.33,36713.51,109011.06,,,,,,109011.06,,,,,,12943.59,12943.59,163810.20,9419.64,,,15668.58,,6816.24,8041.12,,,,,51555.45,13840.77,105341.80,70441.91,,,,,70441.91,,,1321.39,1321.39,,,6.00,,6.00,5037.01,5043.01,-18337.91,-13294.91,,-13294.91,163810.20,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,2,2,2001,1
