CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
114125.00,10254.00,,2062980.00,61157.00,2001823.00,237547.00,46283.00,314466.00,2724498.00,,,,,4883373.00,5952548.00,5950611.00,4885310.00,39209.00,44495.00,485753.00,355771.00,257311.00,5553227.00,,,,225897.00,41.00,956078.00,1182016.00,9459741.00,30834.00,,,810057.00,88843.00,,146159.00,296608.00,27297.00,243448.00,,,666196.00,2309442.00,1027299.00,,137297.00,,330170.00,1494766.00,189013.00,,1239004.00,1428017.00,,,,,,297689.00,297689.00,3929827.00,4227516.00,,4227516.00,9459741.00,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,06200,D,3,3,2001,1
117521.64,,,21591.84,800.71,20791.13,2210.12,3742.03,,144264.93,,,,,364681.49,27853.56,13835.86,378699.19,,125009.50,1169.61,,,504878.30,,,,15193.13,,9436.90,24630.03,673773.25,54985.50,,28780.67,24549.47,,,13433.29,3836.79,2552.52,338.19,,51585.58,14064.14,194126.15,290664.83,,,,,290664.83,3373.30,,7334.80,10708.10,210440.64,,43.64,,210484.28,907.39,211391.67,-33117.49,178274.18,,178274.18,673773.25,20409,B6,JetBlue Airways,B6,JetBlue Airways,06673,D,2,2,2001,4
118343.00,2855520.00,21976.00,1529035.00,68407.00,1482604.00,592640.00,798998.00,55337.00,5903442.00,,3325599.00,63795.00,3389394.00,18732163.00,3196436.00,8171609.00,13756990.00,8692.00,834008.00,958964.00,2325706.00,954743.00,16929617.00,,,,319204.00,,1635078.00,1954282.00,28176735.00,420783.00,,,-832116.00,495537.00,179258.00,228775.00,336049.00,88752.00,221995.00,,2647528.00,892723.00,4679284.00,6506661.00,23439.00,18132.00,1171882.00,2542399.00,10262513.00,1616179.00,,5132725.00,6748904.00,,,1.00,,1.00,3347251.00,3347252.00,3138782.00,6486034.00,,6486034.00,28176735.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2001,4
123304.67,,,8032.80,666.50,7366.30,8227.98,6263.85,10723.10,155885.89,,,,,235665.63,31407.23,31604.40,235468.45,,39395.90,,,,274864.35,,,,,28691.71,33852.89,62544.59,493294.83,12957.46,,,7308.77,921.66,481.71,4700.04,4243.30,7278.74,20564.18,,38457.13,70979.90,167892.89,235675.78,,,1111.92,107549.91,344337.61,,,,,,,,,,201819.28,201819.28,-220754.95,-18935.66,,-18935.66,493294.83,20437,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,06030,D,2,2,2001,4
127385.64,11119.71,,369622.27,1910.19,367712.08,51464.90,66612.37,,624294.69,,,25653.34,25653.34,1180038.44,150731.40,539790.44,790979.40,,60250.00,79237.67,2312.74,2312.74,930467.07,,,,,,344243.03,344243.03,1924658.13,126980.60,,,,38878.23,,9575.27,,12029.58,9859.41,,198763.19,245307.29,641393.57,352273.52,,614.80,,75187.62,428075.93,,,60416.79,60416.79,,,0.01,,0.01,519748.77,519748.78,275023.06,794771.84,,794771.84,1924658.13,19991,HP,America West Airlines Inc.,HP,America West Airlines Inc.,06049,D,3,3,2001,3
128902.51,,,13612.99,1174.54,12438.45,10635.54,19810.62,,171787.11,,,,,278601.38,29651.43,49404.35,258848.46,,35876.70,,,,294725.16,,,,,21457.38,36139.80,57597.18,524109.46,46816.25,,,5118.28,674.26,459.15,6493.14,3224.08,10872.87,9198.90,,48299.25,78611.57,209767.76,259884.18,,,1364.11,,261248.29,,,802.52,802.52,,,66.68,,66.68,173478.95,173545.62,-121254.73,52290.90,,52290.90,524109.46,20437,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,06030,D,2,2,2001,2
129106.79,,,28036.54,718.62,27317.92,6378.20,7385.11,8500.00,178688.03,,,,,237131.78,29354.10,28294.72,238191.16,,39445.90,,,,277637.06,,,,,27497.20,35756.33,63253.53,519578.62,37516.25,,,7063.77,1444.65,471.80,6969.37,3543.30,15877.61,9045.00,,41734.29,63474.54,187140.57,230916.33,,,1256.82,101066.66,333239.81,,,,,,,,,,208665.49,208665.49,-209467.26,-801.76,,-801.76,519578.62,20437,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,06030,D,2,2,2001,3
133987.07,27864.12,,393551.99,1603.46,391948.53,49416.14,51693.15,,654909.01,,,25646.58,25646.58,952623.92,147860.58,506193.28,594291.22,,81750.00,107676.20,2312.79,2312.79,783717.41,,,,,,358097.70,358097.70,1822370.70,,133435.28,,,20331.41,,9049.78,,9003.58,17334.03,,227814.86,239382.21,656351.15,196520.41,,789.19,,80628.90,277938.50,,,62158.17,62158.17,,,0.01,,0.01,519748.77,519748.78,306174.10,825922.88,,825922.88,1822370.70,19991,HP,America West Airlines Inc.,HP,America West Airlines Inc.,06049,D,3,3,2001,2
145034.45,,,15480.09,1221.56,14258.53,12049.18,13797.87,,185140.03,,,,,287599.46,28545.24,46005.92,270138.78,,29635.90,,,,299774.68,,,,,20814.01,36881.38,57695.39,542610.09,67804.71,,,4412.97,392.21,440.84,7435.37,3224.08,20992.77,7947.69,,53106.29,57511.14,223268.06,294232.23,,,1486.26,,295718.49,,,2807.35,2807.35,,,66.59,,66.59,155198.79,155265.38,-134449.19,20816.19,,20816.19,542610.09,20437,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,06030,D,2,2,2001,1
148520.02,,,363346.99,1945.08,361401.91,51833.01,40589.22,,602344.16,,,31218.80,31218.80,1014222.40,154274.37,556862.57,611634.20,,49650.00,90256.25,2312.74,2312.74,751540.44,,,,,,308845.57,308845.57,1693948.97,119140.81,,33056.85,,,,9377.13,,6386.78,10390.49,,176984.87,343475.42,698812.36,222955.38,,558.23,,72751.57,296265.18,,,58655.38,58655.38,,,0.01,,0.01,519748.77,519748.78,120467.26,640216.04,,640216.04,1693948.97,19991,HP,America West Airlines Inc.,HP,America West Airlines Inc.,06049,D,3,3,2001,4
